"""","家計外消費支出(列)","民間消費支出","一般政府消費支出","県内総固定資本形成公的","県内総固定資本形成民間","在庫純増","調整項","移輸出","合計"
"01 農林水産業","828.0668214246546","16188.981512552027","756.5411960693381","180.6333414014393","1170.9165693930183","1040.516681402166","56.01499952759108","120360.32887822975","140581.99999999997"
"06 鉱業","1.1463446540319306","52.784010022598714","7.9746648573951795","4.9621929394413895","6.028020309199358","28.38934729465114","2.148108111059846","2241.5673118115965","2344.999999999974"
"11 飲食料品","2546.3096128872253","51928.9091025704","1435.5266779615822","12.892308599779218","29.714258951253573","475.6717615428978","93.9234727692668","137827.05280471765","194350.00000000006"
"15 繊維製品","64.44072738021983","2130.0885637197057","188.1384214029124","42.27703146716038","236.1769842814638","-28.46581500786978","755.6347247487461","57992.70936200768","61381.000000000015"
"16 パルプ・紙・木製品","334.48618578469814","4267.364139015423","1864.4703575914757","2343.1830707617796","3310.3557098643837","-28.80553506751681","69.53466749934005","59808.411404550396","71968.99999999997"
"20 化学製品","575.0159518728601","10562.745667001933","11790.468201163427","451.8649396883887","655.781709653179","1814.4540032884781","3597.3482669953305","402490.3212603366","431938.00000000023"
"21 石油・石炭製品","601.3704433711175","36838.56067043889","4417.096869833721","2705.3665446785803","3306.8302029966417","8792.741043802143","1332.3973712376987","738558.6368536415","796553.0000000002"
"22 プラスチック・ゴム","68.60374779167135","1746.3295397376107","394.0597354664287","321.959965465449","452.4100923356758","-94.91456531398646","240.2985494751449","48383.25293504198","51511.99999999997"
"25 窯業・土石製品","69.9329769396025","1153.2545902876948","423.1473301213931","3335.8634083043835","3629.9502315102072","-173.78895736565477","101.15777063549547","26091.482649566886","34631.00000000001"
"26 鉄鋼","196.57222343879766","6356.208252248644","2541.85030475674","9485.145123906042","10667.858900703048","26667.23419136503","2334.714879533103","1019397.4161240495","1077647.000000001"
"27 非鉄金属","3.0476777457704802","123.60777323700067","42.210442184633024","84.3426675986985","117.56422003624829","-49.67339518086667","443.5961109534339","42734.30450342509","43499.00000000001"
"28 金属製品","46.703488824237056","740.4503148573103","212.65543168886768","1429.2152117293151","1770.3619036574644","-34.31168072529996","100.53485085995302","58503.390479108144","62768.99999999999"
"29 はん用機械","7.857261760979465","319.30398047836456","103.04809598814884","445.55497420762","5892.152824912893","422.26935888833304","815.7062095797343","222797.10729418416","230803.00000000023"
"30 生産用機械","5.693727478465279","193.21372194134426","74.31562167876542","120.80164251543964","4638.990599515913","-57.1283736962731","730.1354885337803","72063.97757203257","77770.0"
"31 業務用機械","17.706277630690796","553.4927900368062","855.408599846824","121.12178128587715","1800.2484020341435","-21.71699065491843","72.3300236476786","10115.40911617289","13513.999999999993"
"32 電子部品","8.178379288705715","359.0941840555729","159.17008385885856","46.829259872349716","152.90457160631667","-4.831530618371612","113.31307504617571","11690.341976890391","12524.999999999998"
"33 電気機械","45.058755718826006","3443.8466659914884","111.96391388800447","397.2753638104844","3244.1939659181435","198.1475557062463","480.9603390143845","37840.55343995242","45761.99999999999"
"34 情報・通信機器","0.09172140379282245","4.869719082418739","0.07747891846022256","0.8624405856017305","3.251097423218885","-0.21998526042052535","6.000310998251135","1433.0672168486803","1448.0000000000034"
"35 輸送機械","10.941796499419066","3041.14147542962","249.17121320384373","148.54080003661332","2627.640972042691","-93.31614466332307","149.1625011483552","11512.717386302773","17645.999999999993"
"39 その他の製造工業製品","728.345409896746","10710.869109239551","3021.621186124835","565.7539227124612","2256.7353089577387","10.770146142913227","100.60785221424347","30069.297064711507","47464.0"
"41 建設","366.1003086776423","20186.70570350312","6402.284667636911","182953.69631354278","193685.97596130695","158.80505872727156","50.38426380922057","14881.04772279618","418685.0000000001"
"46 電力・ガス・熱供給","1903.794821586858","70286.15758911175","11917.56994024598","1826.5126440815338","3121.6458353125513","628.0396812789771","237.89521960867344","109382.38426877366","199304.0"
"47 水道","615.5467547285363","33816.22865952764","-2199.5203516582114","338.6202716152853","593.9964407132353","52.65387921143292","23.627325630219445","6800.847020231876","40042.000000000015"
"48 廃棄物処理","604.2485043696214","5678.814448587391","14105.989811156782","389.03581835495714","559.9095832943697","18.043707452669036","11.771056597873855","3768.1870701863304","25136.0"
"51 商業","9489.338380885816","253438.2397821526","17858.51544501158","11019.012785126033","33678.64569651337","1687.3300965036601","388.9792420976548","160003.93857170918","487563.9999999999"
"53 金融・保険","752.5372135888788","154029.8043844339","13738.047614712224","3239.572611313588","4336.152249059921","205.84800396625718","89.71144989478341","30629.326473030447","207021.0"
"55 不動産","1332.7618540828441","417334.894711451","11863.862970925937","1635.7612241995218","2990.798076647979","140.4689210734007","49.48064929974881","18299.971592319438","453647.9999999999"
"57 運輸・郵便","3810.698483187847","91382.69271851881","17353.76109819427","7903.0855202614875","12793.863476939847","1320.6475279788372","235.51007958700046","164549.74109533193","299350.0"
"59 情報通信","1511.128252520983","78674.01954733752","10660.772602186498","5262.710027668035","25128.715218202342","83.47755997169031","59.773898209031884","40728.40289390388","162109.0"
"61 公務","20.970128378573055","9423.750768377598","239950.44721751573","230.21080464978309","289.9248332646508","8.102289465960443","3.569195234047899","2222.02476311364","252148.99999999994"
"63 教育・研究","193.30841843585543","40968.99829408641","135492.19533865812","799.7207626709228","1864.9396265763999","320.1388451172328","326.53372484303037","60705.16498961201","240670.99999999997"
"64 医療・福祉","4000.000651425873","99479.13345437791","385087.38205725915","17.381111250491177","41.37761455130987","1.733956820952539","0.40103226447685475","264.59012204989835","488892.00000000006"
"65 その他の非営利団体ｻｰﾋﾞｽ","203.36375563450707","39832.84090943701","985.5500662776086","334.3667616371724","479.74448097515136","34.82657515407828","16.18242643217442","20194.125024452278","62080.999999999985"
"66 対事業所サ－ビス","2167.1280554628956","69568.01798787131","28625.769846008545","12757.848334553733","21816.57894536588","409.6257094426755","240.0238645143592","66000.00725678059","201585.0"
"67 対個人サ－ビス","44551.562500967004","194109.2915775745","6999.6704362088985","204.0910859845779","388.33006458038693","9.439920233205473","7.956332829672531","58306.658081621674","304576.99999999994"
"68 事務用品","139.28252994988793","2886.6779090929545","2466.730784830693","311.61570074580743","477.6567722731283","14.9116555214993","10.365007285099761","2623.759640300927","8930.999999999996"
"69 分類不明","288.7259071441597","9634.474893395605","4246.83631285359","3169.643132695903","3991.8120183512033","111.55586812688753","49.14224238980145","30593.80962504283","52085.999999999985"
"合　　計","78110.06605282032","1741445.8591207815","934204.78168463","254637.33090191847","352210.13344003144","44068.670371925036","13396.826583055636","3901865.331844839","7319939.000000001"
